"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"132",132,"RT @LPSK12: All LPS schools are on secured perimeter due to a reported shooting at the STEM School in Highlands Ranch. Secured Perimeter: s…",FALSE,0,NA,"2019-05-07 21:25:56",FALSE,NA,1125874428217135104,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jessicaladosca",14,TRUE,FALSE,NA,NA
"133",133,"RT @LPSK12: Law enforcement has told us we can dismiss school. Elementary students will NOT be allowed to walk home. They must be picked up…",FALSE,0,NA,"2019-05-07 21:24:03",FALSE,NA,1125873956270084096,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DemandaCourt",8,TRUE,FALSE,NA,NA
"134",134,"Law enforcement has told us we can dismiss school. Elementary students will NOT be allowed to walk home. They must… https://t.co/ZJ1d9V72E2",FALSE,14,NA,"2019-05-07 21:23:40",TRUE,NA,1125873860924952576,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LPSK12",8,FALSE,FALSE,NA,NA
"137",137,"RT @LPSK12: All LPS schools are on secured perimeter due to a reported shooting at the STEM School in Highlands Ranch. Secured Perimeter: s…",FALSE,0,NA,"2019-05-07 21:08:12",FALSE,NA,1125869965280727040,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nintyone09",14,TRUE,FALSE,NA,NA
"138",138,"RT @LPSK12: All LPS schools are on secured perimeter due to a reported shooting at the STEM School in Highlands Ranch. Secured Perimeter: s…",FALSE,0,NA,"2019-05-07 20:57:32",FALSE,NA,1125867283346120704,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ryserna",14,TRUE,FALSE,NA,NA
"139",139,"RT @LPSK12: All LPS schools are on secured perimeter due to a reported shooting at the STEM School in Highlands Ranch. Secured Perimeter: s…",FALSE,0,NA,"2019-05-07 20:56:58",FALSE,NA,1125867141167755264,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","camschorizo",14,TRUE,FALSE,NA,NA
"140",140,"RT @LPSK12: All LPS schools are on secured perimeter due to a reported shooting at the STEM School in Highlands Ranch. Secured Perimeter: s…",FALSE,0,NA,"2019-05-07 20:54:57",FALSE,NA,1125866631153037312,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kayceincolorado",14,TRUE,FALSE,NA,NA
"142",142,"RT @LPSK12: All LPS schools are on secured perimeter due to a reported shooting at the STEM School in Highlands Ranch. Secured Perimeter: s…",FALSE,0,NA,"2019-05-07 20:51:17",FALSE,NA,1125865711547625472,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","honeybeecamper",14,TRUE,FALSE,NA,NA
"143",143,"RT @LPSK12: All LPS schools are on secured perimeter due to a reported shooting at the STEM School in Highlands Ranch. Secured Perimeter: s…",FALSE,0,NA,"2019-05-07 20:47:32",FALSE,NA,1125864766176546816,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PuppyProdigy",14,TRUE,FALSE,NA,NA
"144",144,"RT @LPSK12: All LPS schools are on secured perimeter due to a reported shooting at the STEM School in Highlands Ranch. Secured Perimeter: s…",FALSE,0,NA,"2019-05-07 20:44:48",FALSE,NA,1.125864077149e+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HHSLPS",14,TRUE,FALSE,NA,NA
