"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"21","<ed><U+00A0><U+00BC><ed><U+00BE><U+0089><ed><U+00A0><U+00BC><ed><U+00BE><U+0089><ed><U+00A0><U+00BC><ed><U+00BE><U+0089><ed><U+00A0><U+00BC><ed><U+00BE><U+0089><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE> #champion #congratulations   .... <U+0E22><U+0E34><U+0E19><U+0E14><U+0E35><U+0E01><U+0E31><U+0E1A><U+0E17><U+0E35><U+0E21><U+0E0A><U+0E32><U+0E15><U+0E34><U+0E1D><U+0E23><U+0E31><U+0E48><U+0E07><U+0E40><U+0E28><U+0E2A> <U+0E2A><U+0E38><U+0E14><U+0E22><U+0E2D><U+0E14><U+0E14><U+0E14><U+0E14><U+0E14><U+0E14><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE> #fifaworldcupfinal2018… https://t.co/MoZTAxaAs2",FALSE,0,NA,2018-07-15 18:07:59,TRUE,NA,"1018557805048008705",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","arkom_kongwijit",0,FALSE,FALSE,"37.5587516","55.7184026"
"22","<U+0417><U+0430> <U+043E><U+043A><U+043D><U+043E><U+043C> <U+0432><U+043D><U+0435><U+0437><U+0430><U+043F><U+043D><U+043E> <U+0432><U+043E><U+0442> <U+0442><U+0430><U+043A> @ Khamovniki District https://t.co/66Ad0tFasa",FALSE,0,NA,2018-07-15 18:04:51,FALSE,NA,"1018557018460704768",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","funnycoder",0,FALSE,FALSE,"37.56274817","55.72855601"
"23","<U+042D><U+0442><U+043E> <U+0431><U+044B><U+043B> <U+043B><U+0443><U+0447><U+0448><U+0438><U+0439> <U+043C><U+0435><U+0441><U+044F><U+0446> <U+0432> <U+043C><U+043E><U+0435><U+0439> <U+0436><U+0438><U+0437><U+043D><U+0438>",FALSE,1,NA,2018-07-15 17:40:43,FALSE,NA,"1018550945066594304",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","ereskovsky",0,FALSE,FALSE,"37.56680145","55.72756931"
"24","<U+0415><U+043C><U+0433><U+0438><U+0440> <U+0448><U+0443><U+043D><U+0430><U+043A><U+0430> <U+0435><U+0433><U+044F><U+0431><U+0434><U+0438>. https://t.co/vCz9JNz5JI",FALSE,0,NA,2018-07-15 17:29:46,FALSE,NA,"1018548189907988481",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_ELBEK_STUDIO_",0,FALSE,FALSE,NA,NA
"25","CHAMPIONS DU MONDE MON FRÈRE <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> #worldcup2018 à Loujniki https://t.co/qgC7s968Wx",FALSE,0,NA,2018-07-15 17:08:12,FALSE,NA,"1018542760285089792",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","DebbBabyy",0,FALSE,FALSE,"37.5587516","55.7184026"
"26","<U+0421><U+0435><U+0433><U+043E><U+0434><U+043D><U+044F> <U+0441><U+0447><U+0430><U+0441><U+0442><U+043B><U+0438><U+0432><U+044B><U+0439> <U+0434><U+0435><U+043D><U+044C>. <U+041C><U+044B> <U+0441><U+0442><U+0430><U+043B><U+0438> <U+0441><U+0432><U+0438><U+0434><U+0435><U+0442><U+0435><U+043B><U+044F><U+043C><U+0438> <U+043B><U+0443><U+0447><U+0448><U+0435><U+0433><U+043E> <U+0441><U+043F><U+043E><U+0440><U+0442><U+0438><U+0432><U+043D><U+043E><U+0433><U+043E> <U+0441><U+043E><U+0431><U+044B><U+0442><U+0438><U+044F> <U+0437><U+0430> <U+0432><U+0441><U+044E> <U+0438><U+0441><U+0442><U+043E><U+0440><U+0438><U+044E>. <U+041E><U+0447><U+0435><U+043D><U+044C> <U+043D><U+0435><U+043E><U+0431><U+044B><U+0447><U+043D><U+044B><U+0439> <U+043C><U+0435><U+0441><U+044F><U+0446>. <U+042D><U+0442>… https://t.co/xFcZlPxJ8G",FALSE,0,NA,2018-07-15 17:00:14,TRUE,NA,"1018540757211369472",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Eshik19",0,FALSE,FALSE,"37.60380288","55.73160209"
"27","<U+041F><U+0440><U+0438><U+0432><U+0435><U+0442>, <U+041F><U+0438><U+0442><U+0435><U+0440> https://t.co/ocP6HnaMZE",FALSE,3,NA,2018-07-15 16:47:45,FALSE,NA,"1018537616176640005",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hi_storicalgirl",0,FALSE,FALSE,NA,NA
"28","World Cup Final with @cliverose blocking my damn view! #downinfront #soccerrules<U+26BD><U+FE0F> @ FIFA World Cup 2018 Russia https://t.co/4aO2gvXjVi",FALSE,0,NA,2018-07-15 16:42:59,FALSE,NA,"1018536413065670656",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","heiman225",0,FALSE,FALSE,"37.5587516","55.7184026"
"29","At Luzhniki Stadium (<U+0421><U+0442><U+0430><U+0434><U+0438><U+043E><U+043D> «<U+041B><U+0443><U+0436><U+043D><U+0438><U+043A><U+0438>») — https://t.co/6ut52MNfub",FALSE,0,NA,2018-07-15 16:15:02,FALSE,NA,"1018529381029777408",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","midosi317",0,FALSE,FALSE,"37.56183","55.72196"
"30","Croatia GO!!! <ed><U+00A0><U+00BC><ed><U+00B7><U+00AD><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> <U+26BD><U+FE0F> <ed><U+00A0><U+00BC><ed><U+00BF><U+0086> @ True Cost Moscow https://t.co/jOZFalrZbe",FALSE,0,NA,2018-07-15 16:02:04,FALSE,NA,"1018526116028567553",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","drugs8unny",0,FALSE,FALSE,"37.58423","55.73553"
