"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"196",196,"<U+041C><U+043E><U+0441><U+043A><U+0432><U+0430> statt Rio. Frankreich statt Deutschland. Aber das Team steht! <U+270C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BC><ed><U+00BC><U+008D> #WorldCupFinal 
#allezlesbleus <ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7>… https://t.co/jhzYwudP90",FALSE,13,NA,"2018-07-15 18:10:32",TRUE,NA,1018558449184116736,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dkckrls",0,FALSE,FALSE,NA,NA
"197",197,"Hoy finaliza un mundial lleno de sorpresas para el fútbol. Me siento más que feliz de haber sido partícipe de este… https://t.co/jfvVvLXEiY",FALSE,0,NA,"2018-07-15 18:10:10",TRUE,NA,1018558353755209728,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","_BryanSmith_",0,FALSE,FALSE,37.55361111,55.71583333
"198",198,"<U+0422><U+043E><U+043B><U+044C><U+043A><U+043E> <U+0447><U+0442><U+043E> <U+043E><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+043E><U+0432><U+0430><U+043D><U+043E> <U+0432><U+0438><U+0434><U+0435><U+043E> @ Luzhniki Stadium https://t.co/kmZ6IHvjwd",FALSE,0,NA,"2018-07-15 18:09:55",FALSE,NA,1018558293134991360,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","pashok1230",0,FALSE,FALSE,37.55361111,55.71583333
"199",199,"I'm at 800°<U+0421> Contemporary Steak in <U+041C><U+043E><U+0441><U+043A><U+0432><U+0430> https://t.co/YGQnGFaNeX",FALSE,0,NA,"2018-07-15 18:09:35",FALSE,NA,1018558209601212416,NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","DavidVaysman",0,FALSE,FALSE,37.59208546,55.76275641
"201",201,"Oasis classic Don't Look Back in Anger symbolically plays as deflated Croatia fans depart the stadium, torrential r… https://t.co/a0lCYJP4cJ",FALSE,4,NA,"2018-07-15 18:08:37",TRUE,NA,1018557966402932736,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DannyWArmstrong",0,FALSE,FALSE,NA,NA
"202",202,"<U+041C><U+043E><U+043A><U+0440><U+044B><U+0435>, <U+043D><U+043E> <U+0441><U+0447><U+0430><U+0441><U+0442><U+043B><U+0438><U+0432><U+044B><U+0435> <U+0431><U+043E><U+043B><U+0435><U+043B><U+044C><U+0449><U+0438><U+043A><U+0438>! Wet but happy fans!!! @ FIFA World Cup 2018 https://t.co/5d4epXVtuV",FALSE,1,NA,"2018-07-15 18:08:33",FALSE,NA,1018557947788619776,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Dmitry007",0,FALSE,FALSE,37.55386591,55.71565318
"203",203,"Fomos campeões. em Luzhniki Stadium https://t.co/bl4WK2aRQN",FALSE,1,NA,"2018-07-15 18:08:16",FALSE,NA,1018557875889885184,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","raphaeldeangeli",0,FALSE,FALSE,37.55361111,55.71583333
"205",205,"current weather in Moscow: light intensity shower rain, 22°C
94% humidity, wind 4kmh, pressure 1009mb",FALSE,0,NA,"2018-07-15 18:07:43",FALSE,NA,1018557737322467328,NA,"<a href=""http://twitter.com/WorldCities/cities"" rel=""nofollow"">World Cities</a>","MoscowRU",0,FALSE,FALSE,37.61,55.74
"207",207,"Viva le France!! <ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> <ed><U+00A0><U+00BC><ed><U+00BF><U+0086><ed><U+00A0><U+00BE><ed><U+00B5><U+0087>2018 FIFA World Cup Winner!!! Congrats!! 
.
#FIFA #worldcup #russia2018 #champion #france… https://t.co/cco1x3eXXY",FALSE,3,NA,"2018-07-15 18:07:06",TRUE,NA,1018557584717082624,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Dsinathrya",0,FALSE,FALSE,37.55361111,55.71583333
"208",208,"Congratulations FRANCE<ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> 
#fifaworldcup 
#france 
#croatia <U+5834><U+6240>: Luzhniki Stadium https://t.co/6k98pZy6Tl",FALSE,1,NA,"2018-07-15 18:06:22",FALSE,NA,1018557399177875456,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","madridista_53",0,FALSE,FALSE,37.55361111,55.71583333
"209",209,"De esta forma cerramos la gran transmisión de la final de la #copadelmundo #rusia2018<ed><U+00A0><U+00BC><ed><U+00B7><U+00B7><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA> en la que #francia<ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> derrot… https://t.co/Fieqt35XHE",FALSE,2,NA,"2018-07-15 18:05:37",TRUE,NA,1018557209477775360,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Joel_JosueLM",0,FALSE,FALSE,37.55361111,55.71583333
"211",211,"#WorldCup #Champions #France<ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> #Sochi2018<U+26BD><U+FE0F> @ Luzhniki Stadium https://t.co/mEhxEeAI2c",FALSE,1,NA,"2018-07-15 18:04:05",FALSE,NA,1018556823505424384,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ivfwaladoctor",0,FALSE,FALSE,37.55361111,55.71583333
"212",212,"Moscow: 10:03pm: sunset",FALSE,0,NA,"2018-07-15 18:03:52",FALSE,NA,1018556769813975040,NA,"<a href=""http://twitter.com/WorldCities/cities"" rel=""nofollow"">World Cities</a>","MoscowRU",0,FALSE,FALSE,37.61,55.74
"213",213,"CONGRATULATIONS to France <ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7><ed><U+00A0><U+00BC><ed><U+00BE><U+0089><ed><U+00A0><U+00BD><ed><U+00B1><U+008F>
.
.
'twas another great FIFA World Cup. enjoyed it to the fullest without being slee… https://t.co/hJ4LXw2qfI",FALSE,0,NA,"2018-07-15 18:02:25",TRUE,NA,1018556405509283840,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","pieremaechai",0,FALSE,FALSE,37.55361111,55.71583333
"214",214,"<ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7><ed><U+00A0><U+00BC><ed><U+00BC><U+009F><ed><U+00A0><U+00BC><ed><U+00BC><U+009F><ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> 

Bravo et merci. #WorldChampions @ Luzhniki Stadium https://t.co/hKSH0CkMBF",FALSE,0,NA,"2018-07-15 18:00:57",FALSE,NA,1018556035525574656,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","faypando",0,FALSE,FALSE,37.55361111,55.71583333
"215",215,"La última de esta Copa del Mundo, aquí vendrá Deschamps, Griezmann y Zlatko Dalic https://t.co/1Hfqy7Wx87",FALSE,1,NA,"2018-07-15 18:00:55",FALSE,NA,1018556027539603456,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jmanuelfigueroa",0,FALSE,FALSE,NA,NA
